newid,Species,EEZ,timestay (1/30days),timestay^2 (1/30days)
263,4,214,30.000000000000004,900.0000000000002
264,4,214,30.0,900.0
265,4,214,30.0,900.0
266,4,214,30.0,900.0
267,4,214,30.0,900.0
268,4,214,29.999999999999996,899.9999999999998
269,4,214,30.0,900.0
270,4,214,30.0,900.0
271,4,214,30.0,900.0
272,4,214,30.0,900.0
273,4,214,30.0,900.0
274,4,214,30.0,900.0
275,4,214,30.0,900.0
276,4,214,30.0,900.0
277,4,214,30.0,900.0
278,4,214,30.0,900.0
279,4,214,30.0,900.0
280,4,214,30.0,900.0
281,4,214,30.0,900.0
282,4,214,30.0,900.0
283,4,214,30.0,900.0
284,4,214,30.0,900.0
285,4,214,30.0,900.0
286,4,214,30.0,900.0
287,4,214,30.0,900.0
288,4,214,29.999999999999996,899.9999999999998
289,4,214,30.0,900.0
290,4,214,29.999999999999996,899.9999999999998
291,4,214,30.0,900.0
292,4,214,29.999999999999996,899.9999999999998
293,4,214,30.0,900.0
294,4,214,30.0,900.0
295,4,214,30.0,900.0
296,4,214,30.0,900.0
297,4,214,30.0,900.0
298,4,214,30.0,900.0
299,4,214,30.0,900.0
300,4,214,30.0,900.0
301,4,214,30.000000000000004,900.0000000000002
302,4,214,30.0,900.0
303,4,214,30.0,900.0
304,4,214,30.0,900.0
305,4,214,30.000000000000004,900.0000000000002
306,4,214,30.0,900.0
307,4,214,30.0,900.0
308,4,214,30.0,900.0
309,4,214,30.0,900.0
310,4,214,30.0,900.0
311,4,214,30.0,900.0
312,4,214,30.000000000000004,900.0000000000002
313,4,214,30.0,900.0
314,4,214,29.999999999999996,899.9999999999998
315,4,214,30.000000000000004,900.0000000000002
316,4,214,30.0,900.0
317,4,214,30.0,900.0
318,4,214,30.0,900.0
319,4,214,30.0,900.0
320,4,214,30.0,900.0
321,4,214,30.0,900.0
322,4,214,30.0,900.0
323,4,214,30.0,900.0
324,4,214,30.0,900.0
325,4,214,30.0,900.0
326,4,214,30.000000000000004,900.0000000000002
327,4,214,30.0,900.0
328,4,214,30.0,900.0
329,4,214,29.999999999999996,899.9999999999998
330,4,214,30.0,900.0
331,4,214,30.0,900.0
332,4,214,29.999999999999996,899.9999999999998
333,4,214,30.0,900.0
334,4,214,30.0,900.0
335,4,214,30.0,900.0
336,4,214,29.999999999999996,899.9999999999998
337,4,214,30.0,900.0
338,4,214,29.999999999999996,899.9999999999998
339,4,214,29.999999999999996,899.9999999999998
340,4,214,30.000000000000004,900.0000000000002
341,4,214,30.0,900.0
342,4,214,29.999999999999996,899.9999999999998
343,4,214,30.0,900.0
344,4,214,30.000000000000004,900.0000000000002
345,4,214,30.0,900.0
346,4,214,29.999999999999996,899.9999999999998
347,4,214,30.0,900.0
348,4,214,30.000000000000004,900.0000000000002
349,4,214,30.0,900.0
350,4,214,30.0,900.0
351,4,214,30.0,900.0
352,4,214,30.000000000000004,900.0000000000002
353,4,214,30.0,900.0
354,4,214,29.999999999999996,899.9999999999998
355,4,214,30.0,900.0
356,4,214,30.0,900.0
357,4,214,30.0,900.0
358,4,214,30.0,900.0
359,4,214,30.0,900.0
360,4,214,30.0,900.0
361,4,214,30.0,900.0
362,4,214,30.0,900.0
363,4,214,30.0,900.0
364,4,214,30.000000000000004,900.0000000000002
365,4,214,30.0,900.0
366,4,214,30.0,900.0
