EEZ;newid
Antarctica;11279
Antarctica;11280
Antarctica;11281
Antarctica;11282
Antarctica;11283
Antarctica;11284
Antarctica;11285
Antarctica;11286
Antarctica;11287
Antarctica;11288
Antarctica;11289
Antarctica;11290
Antarctica;11291
Antarctica;11292
Antarctica;11293
Antarctica;11294
Antarctica;11295
Antarctica;11296
Antarctica;11297
Antarctica;11298
Antarctica;11299
Antarctica;11300
Antarctica;11301
Antarctica;11302
Antarctica;11303
Antarctica;11304
Antarctica;11305
Antarctica;11306
Antarctica;11307
Antarctica;11308
Antarctica;11309
Antarctica;11310
Antarctica;11311
Antarctica;11312
Antarctica;11313
Antarctica;11314
Antarctica;11315
Antarctica;11316
Antarctica;11317
Antarctica;11318
Antarctica;11319
Antarctica;11320
Antarctica;11321
Antarctica;11322
Antarctica;11323
Antarctica;11324
Antarctica;11325
Antarctica;11326
Antarctica;11327
Antarctica;11328
Antarctica;11329
Antarctica;11330
Antarctica;11331
Antarctica;11332
Antarctica;11333
Antarctica;11347
Antarctica;11348
Antarctica;11349
Antarctica;11364
Antarctica;11367
Antarctica;11368
Antarctica;11371
Antarctica;11374
Antarctica;11375
Antarctica;11377
Antarctica;11378
Antarctica;11380
Antarctica;11383
Antarctica;11384
Antarctica;11385
Antarctica;11389
Antarctica;11391
Antarctica;11395
Antarctica;11398
Antarctica;11400
Antarctica;11403
Antarctica;11404
Antarctica;11405
Antarctica;11407
Antarctica;11409
Antarctica;11410
Antarctica;11412
Antarctica;11431
Antarctica;11434
Antarctica;11435
Antarctica;11438
Antarctica;11440
Antarctica;11441
Antarctica;11442
Antarctica;11443
Antarctica;11444
Antarctica;12017
Antarctica;12048
Antarctica;12052
Antarctica;12094
Antarctica;12151
Antarctica;12179
Antarctica;12200
Antarctica;12212
Antarctica;12213
Antarctica;12214
Antarctica;12215
Antarctica;12216
Antarctica;12217
Antarctica;12218
Antarctica;12219
Antarctica;12220
Antarctica;12221
Antarctica;12222
Antarctica;12223
Antarctica;12224
Antarctica;12225
Antarctica;12226
Antarctica;12227
Antarctica;12228
Antarctica;12229
Antarctica;12230
Antarctica;12231
Antarctica;12232
Antarctica;12233
Antarctica;12234
Antarctica;12235
Antarctica;12236
Antarctica;12237
Antarctica;12238
Antarctica;12239
Antarctica;12240
Antarctica;12241
Antarctica;12242
Antarctica;12243
Antarctica;12244
Antarctica;12245
Antarctica;12246
Antarctica;12247
Antarctica;12248
Antarctica;12249
Antarctica;12250
Antarctica;12251
Antarctica;12252
Antarctica;12253
Antarctica;12254
Antarctica;12255
Antarctica;12256
Antarctica;12257
Antarctica;12258
Canada;151
Canada;152
Canada;153
Canada;154
Canada;155
Canada;156
Canada;157
Canada;158
Canada;159
Canada;160
